iter	Passed	Remaining
748	2817	944
749	2820	940
750	2823	936
751	2826	932
752	2831	928
753	2835	925
754	2839	921
755	2842	917
756	2846	913
757	2849	909
758	2853	906
759	2857	902
760	2861	898
761	2865	894
762	2868	890
763	2871	887
764	2875	883
765	2879	879
766	2884	876
767	2888	872
768	2891	868
769	2895	864
770	2898	860
771	2902	857
772	2905	853
773	2909	849
774	2912	845
775	2916	841
776	2919	837
777	2923	834
778	2926	830
779	2929	826
780	2934	822
781	2938	819
782	2941	815
783	2945	811
784	2948	807
785	2951	803
786	2955	799
787	2958	795
788	2962	792
789	2966	788
790	2969	784
791	2973	780
792	2977	777
793	2980	773
794	2985	769
795	2989	766
796	2992	762
797	2995	758
798	2999	754
799	3002	750
800	3005	746
801	3008	742
802	3012	738
803	3015	735
804	3018	731
805	3021	727
806	3024	723
807	3028	719
808	3031	715
809	3035	711
810	3040	708
811	3043	704
812	3047	700
813	3050	697
814	3054	693
815	3057	689
816	3061	685
817	3064	681
818	3067	677
819	3071	674
820	3074	670
821	3078	666
822	3081	662
823	3085	659
824	3090	655
825	3093	651
826	3097	648
827	3100	644
828	3104	640
829	3107	636
830	3111	632
831	3114	628
832	3117	625
833	3121	621
834	3126	617
835	3129	613
836	3132	610
837	3136	606
838	3140	602
839	3144	598
840	3147	595
841	3150	591
842	3153	587
843	3156	583
844	3159	579
845	3162	575
846	3166	571
847	3171	568
848	3174	564
849	3178	560
850	3181	557
851	3185	553
852	3189	549
853	3194	546
854	3197	542
855	3200	538
856	3203	534
857	3208	530
858	3211	527
859	3214	523
860	3217	519
861	3220	515
862	3224	511
863	3228	508
864	3231	504
865	3234	500
866	3237	496
867	3240	492
868	3245	489
869	3249	485
870	3253	481
871	3256	478
872	3260	474
873	3264	470
874	3267	466
875	3271	463
876	3274	459
877	3278	455
878	3281	451
879	3285	447
880	3288	444
881	3291	440
882	3294	436
883	3298	432
884	3301	429
885	3305	425
886	3309	421
887	3317	418
888	3321	414
889	3325	411
890	3329	407
891	3332	403
892	3335	399
893	3339	395
894	3342	392
895	3345	388
